,metric_1,metric_2,tau,p_value
40,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.9578870041265533,0.0
3,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']",0.9552244420688984,0.0
24,"['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']","['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']",0.908392399785574,0.0
2,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']",0.9065835713233289,0.0
20,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']",0.9029941283609882,0.0
23,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.90076000054338,0.0
30,"['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']",0.8971496583498176,0.0
8,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.89541502215841,0.0
35,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']",0.8928465066412532,0.0
37,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.8908328657130347,0.0
34,"['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.8834846960154571,0.0
1,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']",0.8822255173343448,0.0
21,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.8806215013380733,0.0
12,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']",0.8805650734137744,0.0
22,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.8784281270213476,0.0
18,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']",0.8772880739581995,0.0
15,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.8764437450168395,0.0
13,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']",0.8744259242423768,0.0
4,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']",0.8743559118177837,0.0
41,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.8621758398617307,0.0
