,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, necronomicon_kills, sen_placed, ","0,294238"
1,"courier_kills, deaths, gold_per_min, hero_healing, sen_placed, ","0,282625"
2,"deaths, gold_per_min, hero_healing, lane_efficiency, sen_placed, ","0,279982"
3,"camps_stacked, deaths, gold_per_min, hero_healing, necronomicon_kills, sen_placed, ","0,277100"
4,"deaths, gold_per_min, gold_spent, hero_healing, sen_placed, ","0,273611"
5,"camps_stacked, deaths, gold_per_min, hero_healing, sen_placed, ","0,272734"
6,"deaths, gold_per_min, hero_healing, purchase_tpscroll, sen_placed, ","0,270218"
7,"deaths, gold_per_min, hero_healing, sentry_uses, stuns, ","0,269512"
8,"deaths, gold_per_min, hero_healing, lane_efficiency, necronomicon_kills, sen_placed, ","0,265954"
9,"deaths, gold_per_min, hero_healing, purchase_tpscroll, sen_placed, tower_damage, ","0,265172"
