,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, courier_kills, sentry_uses, ","0,293103"
1,"deaths, gold_per_min, hero_healing, sen_placed, ","0,286004"
2,"deaths, gold_per_min, hero_healing, sen_placed, actions_per_min, ","0,281597"
3,"deaths, gold_per_min, hero_healing, sen_placed, lane_efficiency, ","0,281442"
4,"deaths, xp_per_min, hero_healing, sen_placed, actions_per_min, ","0,276620"
5,"deaths, xp_per_min, hero_healing, sen_placed, lane_efficiency, ","0,274265"
6,"deaths, gold_per_min, hero_healing, sen_placed, tower_kills, ","0,271809"
7,"deaths, gold_per_min, hero_healing, sen_placed, courier_kills, ","0,268181"
8,"deaths, xp_per_min, hero_healing, sen_placed, purchase_tpscroll, ","0,266732"
9,"deaths, xp_per_min, hero_healing, courier_kills, sentry_uses, ","0,265752"
