,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, sen_placed, teamfight_participation, ","0,273742"
1,"deaths, gold_per_min, hero_healing, necronomicon_kills, sen_placed, ","0,271556"
2,"deaths, gold_per_min, hero_healing, sen_placed, tower_kills, ","0,267755"
3,"deaths, gold_per_min, hero_healing, sen_placed, stuns, ","0,267242"
4,"deaths, gold_per_min, hero_healing, purchase_tpscroll, sen_placed, ","0,265244"
5,"deaths, gold_per_min, hero_healing, necronomicon_kills, purchase_tpscroll, sen_placed, ","0,264449"
6,"deaths, gold_per_min, hero_healing, necronomicon_kills, sen_placed, tower_kills, ","0,262896"
7,"deaths, gold_per_min, hero_healing, roshans_killed, sen_placed, ","0,261959"
8,"deaths, gold_per_min, hero_healing, necronomicon_kills, sen_placed, tower_damage, ","0,259537"
9,"deaths, gold_per_min, hero_healing, sen_placed, teamfight_participation, tower_kills, ","0,258219"
