,Solution,Evaluation
0,"courier_kills, deaths, gold_per_min, hero_healing, sentry_uses, ","0,295814"
1,"courier_kills, deaths, gold_per_min, hero_healing, obs_placed, ","0,282351"
2,"courier_kills, deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, ","0,272225"
3,"courier_kills, deaths, gold_per_min, hero_healing, necronomicon_kills, ","0,267711"
4,"courier_kills, deaths, gold_per_min, hero_healing, lane_efficiency, ","0,262807"
5,"courier_kills, deaths, gold_per_min, hero_healing, neutral_kills, sentry_uses, ","0,261396"
6,"courier_kills, deaths, gold_per_min, hero_healing, roshan_kills, sentry_uses, ","0,260924"
7,"courier_kills, deaths, gold_per_min, hero_healing, observer_kills, sentry_uses, ","0,260275"
8,"courier_kills, deaths, gold_per_min, hero_healing, lane_efficiency, obs_placed, ","0,260274"
9,"courier_kills, deaths, gold_per_min, hero_healing, lane_efficiency, sentry_uses, ","0,259804"
