,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, ","0,302658"
1,"deaths, gold_per_min, hero_healing, obs_placed, necronomicon_kills, ","0,288972"
2,"deaths, gold_per_min, hero_healing, sentry_uses, lane_efficiency, ","0,285978"
3,"deaths, gold_per_min, hero_healing, gold_spent, sentry_uses, ","0,279397"
4,"deaths, gold_per_min, hero_healing, obs_placed, necronomicon_kills, camps_stacked, ","0,276449"
5,"deaths, gold_per_min, hero_healing, sen_placed, necronomicon_kills, ","0,275534"
6,"deaths, xp_per_min, hero_healing, sentry_uses, ","0,273240"
7,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, lane_efficiency, ","0,272467"
8,"deaths, gold_per_min, hero_healing, necronomicon_kills, camps_stacked, ","0,271477"
9,"deaths, xp_per_min, hero_healing, sentry_uses, lane_efficiency, ","0,266779"
