,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, ","0,299444"
1,"deaths, gold_per_min, hero_healing, last_hits, necronomicon_kills, sentry_uses, ","0,296978"
2,"deaths, gold_per_min, hero_healing, necronomicon_kills, observer_uses, ","0,293933"
3,"deaths, gold_per_min, hero_healing, lane_kills, sentry_uses, ","0,284666"
4,"deaths, hero_healing, last_hits, necronomicon_kills, sentry_uses, ","0,284029"
5,"actions_per_min, deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, ","0,280883"
6,"deaths, gold_per_min, hero_healing, lane_efficiency, necronomicon_kills, sentry_uses, ","0,280687"
7,"deaths, gold_per_min, hero_healing, sentry_uses, tower_damage, ","0,278925"
8,"deaths, gold_per_min, hero_healing, sentry_uses, tower_kills, ","0,278799"
9,"deaths, gold_per_min, hero_healing, lane_efficiency, sentry_uses, ","0,278049"
