,Solution,Evaluation
0,"courier_kills, deaths, gold_per_min, hero_healing, sentry_uses, ","0,293103"
1,"deaths, gold_per_min, hero_healing, sen_placed, ","0,286004"
2,"actions_per_min, deaths, gold_per_min, hero_healing, sen_placed, ","0,281597"
3,"deaths, gold_per_min, hero_healing, lane_efficiency, sen_placed, ","0,281442"
4,"actions_per_min, deaths, hero_healing, sen_placed, xp_per_min, ","0,276620"
5,"deaths, hero_healing, lane_efficiency, sen_placed, xp_per_min, ","0,274265"
6,"deaths, gold_per_min, hero_healing, sen_placed, tower_kills, ","0,271809"
7,"courier_kills, deaths, gold_per_min, hero_healing, sen_placed, ","0,268181"
8,"deaths, hero_healing, purchase_tpscroll, sen_placed, xp_per_min, ","0,266732"
9,"courier_kills, deaths, hero_healing, sentry_uses, xp_per_min, ","0,265752"
